Name	Homepage	Description	Version	Tool.Type	Topic	Citations	Documentation	Operating.System	Language	Accessibility	License	DOI	Title	Abstract
DIA-NN	https://github.com/vdemichev/diann	Neural networks and interference correction enable deep proteome coverage in high throughput.  DIA-NN - a fast and easy to use tool for processing data independent acquisition (DIA) proteomics data.  None required (for .raw, .mzML and .dia processing). Two executables are provided: DiaNN.exe (a command-line tool) and DIA-NN.exe (a GUI implemented as a wrapper for DiaNN.exe)		Command-line tool, Library, Desktop application	Proteomics, Proteomics experiment, Sequence analysis, Machine learning, Small molecules	909	https://github.com/vdemichev/DiaNN/blob/master/DIA-NN%20GUI%20manual.pdf		C++, C, R	None	None	10.1038/s41592-019-0638-x	DIA-NN: neural networks and interference correction enable deep proteome coverage in high throughput	We present an easy-to-use integrated software suite, DIA-NN, that exploits deep neural networks and new quantification and signal correction strategies for the processing of data-independent acquisition (DIA) proteomics experiments. DIA-NN improves the identification and quantification performance in conventional DIA proteomic applications, and is particularly beneficial for high-throughput applications, as it is fast and enables deep and confident proteome coverage when used in combination with fast chromatographic methods.
PeptideShaker	http://compomics.github.io/projects/peptide-shaker.html	PeptideShaker is a search engine independent platform for interpretation of proteomics identification results from multiple search engines, currently supporting X!Tandem, MS-GF+, MS Amanda, OMSSA, MyriMatch, Comet, Tide, Mascot, Andromeda and mzIdentML. By combining the results from multiple search engines, while re-calculating PTM localization scores and redoing the protein inference, PeptideShaker attempts to give you the best possible understanding of your proteomics data	1.13.6	Command-line tool, Desktop application	Proteomics, Proteomics experiment, Proteome	416	http://compomics.github.io/projects/peptide-shaker.html#read-me	Linux, Mac	Java	Open access	Apache-2.0	10.1038/nbt.3109	PeptideShaker enables reanalysis of MS-derived proteomics data sets: To the editor	
MitoCarta	http://www.broadinstitute.org/mitocarta	An updated mitochondrial proteome now with sub-organelle localization and pathway annotations.  An Inventory of Mammalian Mitochondrial Proteins and Pathways.  MitoCarta3.0 is an inventory of 1136 human and 1140 mouse genes encoding proteins with strong support of mitochondrial localization, now with sub-mitochondrial compartment and pathway annotations. To generate this inventory, we performed mass spectrometry of mitochondria isolated from fourteen tissues, assessed protein localization through large-scale GFP tagging/microscopy,.	3.0	Command-line tool	Cell biology, Proteomics, Sequence analysis, Proteomics experiment, Molecular interactions, pathways and networks	734				None	None	10.1093/nar/gkaa1011	MitoCarta3.0: An updated mitochondrial proteome now with sub-organelle localization and pathway annotations	The mammalian mitochondrial proteome is under dual genomic control, with 99% of proteins encoded by the nuclear genome and 13 originating from the mitochondrial DNA (mtDNA). We previously developed MitoCarta, a catalogue of over 1000 genes encoding the mammalian mitochondrial proteome. This catalogue was compiled using a Bayesian integration of multiple sequence features and experimental datasets, notably protein mass spectrometry of mitochondria isolated from fourteen murine tissues. Here, we introduce MitoCarta3.0. Beginning with the MitoCarta2.0 inventory, we performed manual review to remove 100 genes and introduce 78 additional genes, arriving at an updated inventory of 1136 human genes. We now include manually curated annotations of sub-mitochondrial localization (matrix, inner membrane, intermembrane space, outer membrane) as well as assignment to 149 hierarchical 'MitoPathways' spanning seven broad functional categories relevant to mitochondria. MitoCarta3.0, including sub-mitochondrial localization and MitoPathway annotations, is freely available at http://www.broadinstitute.org/mitocarta and should serve as a continued community resource for mitochondrial biology and medicine.
DeepSTORM3D	https://github.com/EliasNehme/DeepSTORM3D	DeepSTORM3D is a tool for dense 3D localization microscopy and PSF design by deep learning. DeepSTORM3D enables the study of biological processes in whole cells at timescales that are rarely explored in localization microscopy.		Script	Imaging, Machine learning, Cell biology, Proteomics experiment	209			Python	None	MIT	10.1038/s41592-020-0853-5	DeepSTORM3D: dense 3D localization microscopy and PSF design by deep learning	An outstanding challenge in single-molecule localization microscopy is the accurate and precise localization of individual point emitters in three dimensions in densely labeled samples. One established approach for three-dimensional single-molecule localization is point-spread-function (PSF) engineering, in which the PSF is engineered to vary distinctively with emitter depth using additional optical elements. However, images of dense emitters, which are desirable for improving temporal resolution, pose a challenge for algorithmic localization of engineered PSFs, due to lateral overlap of the emitter PSFs. Here we train a neural network to localize multiple emitters with densely overlapping Tetrapod PSFs over a large axial range. We then use the network to design the optimal PSF for the multi-emitter case. We demonstrate our approach experimentally with super-resolution reconstructions of mitochondria and volumetric imaging of fluorescently labeled telomeres in cells. Our approach, DeepSTORM3D, enables the study of biological processes in whole cells at timescales that are rarely explored in localization microscopy.
ProteoWizard	http://proteowizard.sourceforge.net/	The ProteoWizard Library and Tools are a set of modular and extensible open-source, cross-platform tools and software libraries that facilitate proteomics data analysis.		Command-line tool, Desktop application	Proteomics, Proteomics experiment	2529	http://proteowizard.sourceforge.net/IntroductoryTutorial.shtml	Linux, Windows, Mac	C++	None	None	10.1038/nbt.2377	A cross-platform toolkit for mass spectrometry and proteomics	
HDXfit	https://www.mathworks.com/matlabcentral/fileexchange/69415-hdxfit	HDXfit is a package for fitting the site exchange probabilities to peptide mass envelopes from hydrogen/deuterium exchange of a protein.	1.0.2.1	Library	Small molecules, Statistics and probability, Proteomics	115, 5		Windows, Linux, Mac	MATLAB	Open access (with restrictions)	None	10.1073/pnas.1315532110	Protein hydrogen exchange at residue resolution by proteolytic fragmentation mass spectrometry analysis	Hydrogen exchange technology provides a uniquely powerful instrument for measuring protein structural and biophysical properties, quantitatively and in a nonperturbing way, and determining how these properties are implemented to produce protein function. A developing hydrogen exchange-mass spectrometry method (HX MS) is able to analyze large biologically important protein systems while requiring only minuscule amounts of experimental material. The major remaining deficiency of the HX MS method is the inability to deconvolve HX results to individual amino acid residue resolution. To pursue this goal we used an iterative optimization program (HDsite) that integrates recent progress in multiple peptide acquisition together with previously unexamined isotopic envelope-shape information and a site-resolved backexchange correction. To test this approach, residue-resolved HX rates computed from HX MS data were compared with extensive HX NMR measurements, and analogous comparisons were made in simulation trials. These tests found excellent agreement and revealed the important computational determinants., 10.1002/rcm.8460, Resolution of protein hydrogen/deuterium exchange by fitting amide exchange probabilities to the peptide isotopic envelopes, Rationale: Mass spectra processing in protein hydrogen/deuterium (H/D) exchange has been remarkably improved by the introduction of fitting of the amide exchange probabilities to peptide isotopic envelope intensities (Kan et al., 2013), in contrast to methods in which only the peptide deuterium uptakes (centroid shifts of isotopic envelopes) are used. However, the known implementations are based on the general fitting routines that use only the objective function values. Besides, applicability of more than one fitting method makes necessary their comparative evaluation. Methods: Two fitting methods were considered: the common least squares and the fitting of the multinomial distribution representing the number of deuterium atoms exchanged in the individual peptides. Both methods were applied either directly to the isotopic envelope data or to the deuterium distributions obtained by envelope deconvolution (i.e. de-isotoping). Results: An autonomous Matlab script was prepared, based on the exact expressions for the gradient and Hessian of the objective function, with the trust-region algorithm implemented in the compact analytical form recently made available. The least-squares fitting to the envelope data produced the best results, with the greatest precision and good coverage of exact values by the confidence intervals. The deuterium distributions were sensitive to the (simulated) experimental error whose progression by envelope deconvolution caused degradation in accuracy. The multinomial distribution fitting exhibited poor performance due to inadequate representation of the experimental error and missing of the appropriate weight parameters. Some specific peptide arrangement details were discussed as potential sources of ambiguity in the fitting results. Conclusions: The method of fitting to peptide isotopic envelopes has been improved by using the exact gradient and Hessian of the objective function. The fitting should be repeated with different initial guesses in order to find not only the global minimum, but also the local minima with similar depths which may exist due to eventual ambiguity of the fitting results.
pftools	https://github.com/sib-swiss/pftools3	The pftools are a collection of programs to build, calibrate, and search biological sequences with generalized profiles. Generalized profiles are an extension of position specific scoring matrices by including position specific scores for insertions and deletions. They correspond to a matrix representation of a multiple sequence alignment that can be used to search distant homologous sequences and precisely align sequences to the model.		Web application, Command-line tool	Sequence analysis, Proteomics, Sequence sites, features and motifs, Protein structural motifs and surfaces, Protein folds and structural domains	115, 15	https://web.expasy.org/pftools/	Linux, Windows, Mac	C++	None	GPL-2.0	10.1002/pro.5560030118	Improving the sensitivity of the sequence profile method	The sequence profile method (Gribskov M, McLachlan AD, Eisenberg D, 1987, Proc Natl Acad Sci USA 84:4355‐4358) is a powerful tool to detect distant relationships between amino acid sequences. A profile is a table of posi‐tion‐specific scores and gap penalties, providing a generalized description of a protein motif, which can be used for sequence alignments and database searches instead of an individual sequence. A sequence profile is derived from a multiple sequence alignment. We have found 2 ways to improve the sensitivity of sequence profiles: (1) Sequence weights: Usage of individual weights for each sequence avoids bias toward closely related sequences. These weights are automatically assigned based on the distance of the sequences using a published procedure (Sib‐bald PR, Argos P, 1990, J Mol Biol 216:813‐818). (2) Amino acid substitution table: In addition to the alignment, the construction of a profile also needs an amino acid substitution table. We have found that in some cases a new table, the BLOSUM45 table (Henikoff S, Henikoff JG, 1992, Proc Natl Acud Sci USA 89:10915‐10919), is more sensitive than the original Dayhoff table or the modified Dayhoff table used in the current implementation. Profiles derived by the improved method are more sensitive and selective in a number of cases where previous methods have failed to completely separate true members from false positives. Copyright © 1994 The Protein Society, 10.1093/bioinformatics/btt129, pfsearchV3: a code acceleration and heuristic to search PROSITE profiles., The PROSITE resource provides a rich and well annotated source of signatures in the form of generalized profiles that allow protein domain detection and functional annotation. One of the major limiting factors in the application of PROSITE in genome and metagenome annotation pipelines is the time required to search protein sequence databases for putative matches. We describe an improved and optimized implementation of the PROSITE search tool pfsearch that, combined with a newly developed heuristic, addresses this limitation. On a modern x86_64 hyper-threaded quad-core desktop computer, the new pfsearchV3 is two orders of magnitude faster than the original algorithm. Source code and binaries of pfsearchV3 are freely available for download at http://web.expasy.org/pftools/#pfsearchV3, implemented in C and supported on Linux. PROSITE generalized profiles including the heuristic cut-off scores are available at the same address.
Vonode	http://www.omicsbio.org/	New de novo sequencing algorithm which has been developed specifically for analysis of such high-resolution tandem mass spectra.		Command-line tool	Proteomics, Proteomics experiment, Sequencing	54		Windows		None	None	10.1186/1471-2105-11-118	A high-throughput de novo sequencing approach for shotgun proteomics using high-resolution tandem mass spectrometry	Background: High-resolution tandem mass spectra can now be readily acquired with hybrid instruments, such as LTQ-Orbitrap and LTQ-FT, in high-throughput shotgun proteomics workflows. The improved spectral quality enables more accurate de novo sequencing for identification of post-translational modifications and amino acid polymorphisms.Results: In this study, a new de novo sequencing algorithm, called Vonode, has been developed specifically for analysis of such high-resolution tandem mass spectra. To fully exploit the high mass accuracy of these spectra, a unique scoring system is proposed to evaluate sequence tags based primarily on mass accuracy information of fragment ions. Consensus sequence tags were inferred for 11,422 spectra with an average peptide length of 5.5 residues from a total of 40,297 input spectra acquired in a 24-hour proteomics measurement of Rhodopseudomonas palustris. The accuracy of inferred consensus sequence tags was 84%. According to our comparison, the performance of Vonode was shown to be superior to the PepNovo v2.0 algorithm, in terms of the number of de novo sequenced spectra and the sequencing accuracy.Conclusions: Here, we improved de novo sequencing performance by developing a new algorithm specifically for high-resolution tandem mass spectral data. The Vonode algorithm is freely available for download at http://compbio.ornl.gov/Vonode. © 2010 Pan et al; licensee BioMed Central Ltd.
PepNovo	http://proteomics.ucsd.edu/ProteoSAFe/	"De novo" sequencing using probabilistic network modeling.		Command-line tool	Proteomics, Proteomics experiment	558	http://proteomics.ucsd.edu/Software/MSGFPlus/	Linux, Windows, Mac	C++	None	None	10.1021/ac048788h	PepNovo: De novo peptide sequencing via probabilistic network modeling	We present a novel scoring method for de novo interpretation of peptides from tandem mass spectrometty data. Our scoring method uses a probabilistic network whose structure reflects the chemical and physical rules that govern the peptide fragmentation. We use a likelihood ratio hypothesis test to determine whether the peaks observed in the mass spectrum are more likely to have been produced under our fragmentation model than under a model that treats peaks as random events. We tested our de novo algorithm PepNovo on ion trap data and achieved results that are superior to popular de novo peptide sequencing algorithms. PepNovo can be accessed via the URL http://www-cse.ucsd.edu/groups/ bioinformatics/software.html.
metapredict	http://metapredict.readthedocs.io/	A machine learning-based tool for predicting protein disorder.		Command-line tool	Protein disordered structure, Proteomics, Machine learning, Sequence analysis, Protein folds and structural domains	93		Mac, Linux, Windows	Python, Shell	Open access	MIT	10.1016/j.bpj.2021.08.039	Metapredict: a fast	accurate, and easy-to-use predictor of consensus disorder and structure, Intrinsically disordered proteins and protein regions make up a substantial fraction of many proteomes in which they play a wide variety of essential roles. A critical first step in understanding the role of disordered protein regions in biological function is to identify those disordered regions correctly. Computational methods for disorder prediction have emerged as a core set of tools to guide experiments, interpret results, and develop hypotheses. Given the multiple different predictors available, consensus scores have emerged as a popular approach to mitigate biases or limitations of any single method. Consensus scores integrate the outcome of multiple independent disorder predictors and provide a per-residue value that reflects the number of tools that predict a residue to be disordered. Although consensus scores help mitigate the inherent problems of using any single disorder predictor, they are computationally expensive to generate. They also necessitate the installation of multiple different software tools, which can be prohibitively difficult. To address this challenge, we developed a deep-learning-based predictor of consensus disorder scores. Our predictor, metapredict, utilizes a bidirectional recurrent neural network trained on the consensus disorder scores from 12 proteomes. By benchmarking metapredict using two orthogonal approaches, we found that metapredict is among the most accurate disorder predictors currently available. Metapredict is also remarkably fast, enabling proteome-scale disorder prediction in minutes. Importantly, metapredict is a fully open source and is distributed as a Python package, a collection of command-line tools, and a web server, maximizing the potential practical utility of the predictor. We believe metapredict offers a convenient, accessible, accurate, and high-performance predictor for single-proteins and proteomes alike.
SearchGUI	http://compomics.github.io/projects/searchgui.html	Graphical user interface for proteomics identification search engines	2.2.2	Command-line tool, Desktop application	Proteomics, Proteomics experiment, Data visualisation	302	http://compomics.github.io/projects/searchgui.html#read-me	Linux, Windows, Mac	Java	None	None	10.1002/pmic.201000595	SearchGUI: An open-source graphical user interface for simultaneous OMSSA and X!Tandem searches	The identification of proteins by mass spectrometry is a standard technique in the field of proteomics, relying on search engines to perform the identifications of the acquired spectra. Here, we present a user-friendly, lightweight and open-source graphical user interface called SearchGUI, for configuring and running the freely available OMSSA (open mass spectrometry search algorithm) and X!Tandem search engines simultaneously. Freely available under the permissible Apache2 license, SearchGUI is supported on Windows, Linux and OSX. © 2011 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.
CODA	https://github.com/ashleylk/CODA	A tool for quantitative 3D reconstruction of large tissues at cellular resolution.		Script	Imaging, Oncology, Machine learning, Genotype and phenotype, Proteomics	54			MATLAB	None	Not licensed	10.1038/s41592-022-01650-9	CODA: quantitative 3D reconstruction of large tissues at cellular resolution	A central challenge in biology is obtaining high-content, high-resolution information while analyzing tissue samples at volumes relevant to disease progression. We address this here with CODA, a method to reconstruct exceptionally large (up to multicentimeter cubed) tissues at subcellular resolution using serially sectioned hematoxylin and eosin-stained tissue sections. Here we demonstrate CODA’s ability to reconstruct three-dimensional (3D) distinct microanatomical structures in pancreas, skin, lung and liver tissues. CODA allows creation of readily quantifiable tissue volumes amenable to biological research. As a testbed, we assess the microanatomy of the human pancreas during tumorigenesis within the branching pancreatic ductal system, labeling ten distinct structures to examine heterogeneity and structural transformation during neoplastic progression. We show that pancreatic precancerous lesions develop into distinct 3D morphological phenotypes and that pancreatic cancer tends to spread far from the bulk tumor along collagen fibers that are highly aligned to the 3D curves of ductal, lobular, vascular and neural structures. Thus, CODA establishes a means to transform broadly the structural study of human diseases through exploration of exhaustively labeled 3D microarchitecture.
sAMPpred-GAT	http://bliulab.net/sAMPpred-GAT	Prediction of antimicrobial peptide by graph attention network and predicted peptide structure.		Web application, Command-line tool	Small molecules, Machine learning, Structure prediction, Proteomics	83		Mac, Linux, Windows	Python, Shell	Open access	Not licensed	10.1093/bioinformatics/btac715	sAMPpred-GAT: prediction of antimicrobial peptide by graph attention network and predicted peptide structure	Motivation: Antimicrobial peptides (AMPs) are essential components of therapeutic peptides for innate immunity. Researchers have developed several computational methods to predict the potential AMPs from many candidate peptides. With the development of artificial intelligent techniques, the protein structures can be accurately predicted, which are useful for protein sequence and function analysis. Unfortunately, the predicted peptide structure information has not been applied to the field of AMP prediction so as to improve the predictive performance. Results: In this study, we proposed a computational predictor called sAMPpred-GAT for AMP identification. To the best of our knowledge, sAMPpred-GAT is the first approach based on the predicted peptide structures for AMP prediction. The sAMPpred-GAT predictor constructs the graphs based on the predicted peptide structures, sequence information and evolutionary information. The Graph Attention Network (GAT) is then performed on the graphs to learn the discriminative features. Finally, the full connection networks are utilized as the output module to predict whether the peptides are AMP or not. Experimental results show that sAMPpred-GAT outperforms the other state-of-the-art methods in terms of AUC, and achieves better or highly comparable performance in terms of the other metrics on the eight independent test datasets, demonstrating that the predicted peptide structure information is important for AMP prediction.
AlphaPeptDeep	https://github.com/MannLabs/alphapeptdeep	A modular deep learning framework to predict peptide properties for proteomics.		Command-line tool	Proteomics experiment, Proteomics, Small molecules, Machine learning, Protein modifications	55		Mac, Linux, Windows	Python	Open access	Apache-2.0	10.1038/s41467-022-34904-3	AlphaPeptDeep: a modular deep learning framework to predict peptide properties for proteomics	Machine learning and in particular deep learning (DL) are increasingly important in mass spectrometry (MS)-based proteomics. Recent DL models can predict the retention time, ion mobility and fragment intensities of a peptide just from the amino acid sequence with good accuracy. However, DL is a very rapidly developing field with new neural network architectures frequently appearing, which are challenging to incorporate for proteomics researchers. Here we introduce AlphaPeptDeep, a modular Python framework built on the PyTorch DL library that learns and predicts the properties of peptides (https://github.com/MannLabs/alphapeptdeep). It features a model shop that enables non-specialists to create models in just a few lines of code. AlphaPeptDeep represents post-translational modifications in a generic manner, even if only the chemical composition is known. Extensive use of transfer learning obviates the need for large data sets to refine models for particular experimental conditions. The AlphaPeptDeep models for predicting retention time, collisional cross sections and fragment intensities are at least on par with existing tools. Additional sequence-based properties can also be predicted by AlphaPeptDeep, as demonstrated with a HLA peptide prediction model to improve HLA peptide identification for data-independent acquisition (https://github.com/MannLabs/PeptDeep-HLA).
HIGH-PPI	https://github.com/zqgao22/HIGH-PPI	A double-viewed hierarchical graph learning model, HIGH-PPI, to predict PPIs and extrapolate the molecular details involved.		Command-line tool, Script	Protein interactions, Machine learning, Protein interaction experiment, Informatics, Proteomics	63		Linux	Python	Open access	MIT	10.1038/s41467-023-36736-1	Hierarchical graph learning for protein–protein interaction	Protein-Protein Interactions (PPIs) are fundamental means of functions and signalings in biological systems. The massive growth in demand and cost associated with experimental PPI studies calls for computational tools for automated prediction and understanding of PPIs. Despite recent progress, in silico methods remain inadequate in modeling the natural PPI hierarchy. Here we present a double-viewed hierarchical graph learning model, HIGH-PPI, to predict PPIs and extrapolate the molecular details involved. In this model, we create a hierarchical graph, in which a node in the PPI network (top outside-of-protein view) is a protein graph (bottom inside-of-protein view). In the bottom view, a group of chemically relevant descriptors, instead of the protein sequences, are used to better capture the structure-function relationship of the protein. HIGH-PPI examines both outside-of-protein and inside-of-protein of the human interactome to establish a robust machine understanding of PPIs. This model demonstrates high accuracy and robustness in predicting PPIs. Moreover, HIGH-PPI can interpret the modes of action of PPIs by identifying important binding and catalytic sites precisely. Overall, “HIGH-PPI [https://github.com/zqgao22/HIGH-PPI]” is a domain-knowledge-driven and interpretable framework for PPI prediction studies.
DFLpred	http://biomine.cs.vcu.edu/servers/DFLpred/	DFLpred webserver is designed for the prediction of disordered flexible linker (DFL). The server generates numeric score for each residue in the input protein sequence that quantifies putative propensity to form a DFL.		Web application, Command-line tool	Protein disordered structure, Proteomics, Protein folds and structural domains, Protein modifications, Sequence analysis	70	https://fanchi.github.io/DFLpred/	Linux, Mac, Windows	C, Java	Open access	None	10.1093/bioinformatics/btw280	DFLpred: High-throughput prediction of disordered flexible linker regions in protein sequences	Motivation: Disordered flexible linkers (DFLs) are disordered regions that serve as flexible linkers/spacers in multi-domain proteins or between structured constituents in domains. They are different from flexible linkers/residues because they are disordered and longer. Availability of experimentally annotated DFLs provides an opportunity to build high-throughput computational predictors of these regions from protein sequences. To date, there are no computational methods that directly predict DFLs and they can be found only indirectly by filtering predicted flexible residues with predictions of disorder. Results: We conceptualized, developed and empirically assessed a first-of-its-kind sequence-based predictor of DFLs, DFLpred. This method outputs propensity to form DFLs for each residue in the input sequence. DFLpred uses a small set of empirically selected features that quantify propensities to form certain secondary structures, disordered regions and structured regions, which are processed by a fast linear model. Our high-throughput predictor can be used on the whole-proteome scale; it needs <1 h to predict entire proteome on a single CPU. When assessed on an independent test dataset with low sequence-identity proteins, it secures area under the receiver operating characteristic curve equal 0.715 and outperforms existing alternatives that include methods for the prediction of flexible linkers, flexible residues, intrinsically disordered residues and various combinations of these methods. Prediction on the complete human proteome reveals that about 10% of proteins have a large content of over 30% DFL residues. We also estimate that about 6000 DFL regions are long with ≥30 consecutive residues.
Kojak	https://kojak-ms.systemsbiology.net/	A database search algorithm for solving cross-linked peptide mass spectra.	2.0.0	Command-line tool	Proteomics, Proteomics experiment, Proteins	142, 4	https://kojak-ms.systemsbiology.net/docs/index.html	Linux, Windows	C++	Open access	Apache-2.0	10.1021/pr501321h	Kojak: Efficient analysis of chemically cross-linked protein complexes	Protein chemical cross-linking and mass spectrometry enable the analysis of protein-protein interactions and protein topologies; however, complicated cross-linked peptide spectra require specialized algorithms to identify interacting sites. The Kojak cross-linking software application is a new, efficient approach to identify cross-linked peptides, enabling large-scale analysis of protein-protein interactions by chemical cross-linking techniques. The algorithm integrates spectral processing and scoring schemes adopted from traditional database search algorithms and can identify cross-linked peptides using many different chemical cross-linkers with or without heavy isotope labels. Kojak was used to analyze both novel and existing data sets and was compared to existing cross-linking algorithms. The algorithm provided increased cross-link identifications over existing algorithms and, equally importantly, the results in a fraction of computational time. The Kojak algorithm is open-source, cross-platform, and freely available. This software provides both existing and new cross-linking researchers alike an effective way to derive additional cross-link identifications from new or existing data sets. For new users, it provides a simple analytical resource resulting in more cross-link identifications than other methods., 10.1021/acs.jproteome.2c00670, Improved Analysis of Cross-Linking Mass Spectrometry Data with Kojak 2.0, Advanced by Integration into the Trans-Proteomic Pipeline, Fragmentation ion spectral analysis of chemically cross-linked proteins is an established technology in the proteomics research repertoire for determining protein interactions, spatial orientation, and structure. Here we present Kojak version 2.0, a major update to the original Kojak algorithm, which was developed to identify cross-linked peptides from fragment ion spectra using a database search approach. A substantially improved algorithm with updated scoring metrics, support for cleavable cross-linkers, and identification of cross-links between 15N-labeled homomultimers are among the newest features of Kojak 2.0 presented here. Kojak 2.0 is now integrated into the Trans-Proteomic Pipeline, enabling access to dozens of additional tools within that suite. In particular, the PeptideProphet and iProphet tools for validation of cross-links improve the sensitivity and accuracy of correct cross-link identifications at user-defined thresholds. These new features improve the versatility of the algorithm, enabling its use in a wider range of experimental designs and analysis pipelines. Kojak 2.0 remains open-source and multiplatform.
Cardinal	http://bioconductor.org/packages/release/bioc/html/Cardinal.html	Implements statistical and computational tools for analyzing mass spectrometry imaging datasets, including methods for efficient pre-processing, spatial segmentation, and classification.	1.6.0	Command-line tool, Library	Proteomics, Data visualisation	195	http://bioconductor.org/packages/release/bioc/html/Cardinal.html	Linux, Windows, Mac	R	None	Artistic-2.0	10.1093/bioinformatics/btv146	Cardinal: An R package for statistical analysis of mass spectrometry-based imaging experiments	Cardinal is an R package for statistical analysis of mass spectrometry-based imaging (MSI) experiments of biological samples such as tissues. Cardinal supports both Matrix-Assisted Laser Desorption/Ionization (MALDI) and Desorption Electrospray Ionization-based MSI workflows, and experiments with multiple tissues and complex designs. The main analytical functionalities include (1) image segmentation, which partitions a tissue into regions of homogeneous chemical composition, selects the number of segments and the subset of informative ions, and characterizes the associated uncertainty and (2) image classification, which assigns locations on the tissue to predefined classes, selects the subset of informative ions, and estimates the resulting classification error by (cross-) validation. The statistical methods are based on mixture modeling and regularization.
MS Amanda	https://ms.imp.ac.at/?action=ms-amanda	MS Amanda is a scoring system to identify peptides out of tandem mass spectrometry data using a database of known proteins. It is especially designed for high resolution and high accuracy tandem mass spectra.		Command-line tool, Plug-in	Proteomics, Protein modifications	327, 12, 48	https://ms.imp.ac.at/?file=Manual%20MS%20Amanda%20for%20PD1.4.pdf	Windows, Mac, Linux	C#	Open access	Freeware	10.1021/pr500202e	MS Amanda	a universal identification algorithm optimized for high accuracy tandem mass spectra, Todays highly accurate spectra provided by modern tandem mass spectrometers offer considerable advantages for the analysis of proteomic samples of increased complexity. Among other factors, the quantity of reliably identified peptides is considerably influenced by the peptide identification algorithm. While most widely used search engines were developed when high-resolution mass spectrometry data were not readily available for fragment ion masses, we have designed a scoring algorithm particularly suitable for high mass accuracy. Our algorithm, MS Amanda, is generally applicable to HCD, ETD, and CID fragmentation type data. The algorithm confidently explains more spectra at the same false discovery rate than Mascot or SEQUEST on examined high mass accuracy data sets, with excellent overlap and identical peptide sequence identification for most spectra also explained by Mascot or SEQUEST. MS Amanda, available at http://ms.imp.ac.at/?goto=msamanda, is provided free of charge both as standalone version for integration into custom workflows and as a plugin for the Proteome Discoverer platform. © 2014 American Chemical Society., 10.1002/rcm.9088, MS Amanda 2.0: Advancements in the standalone implementation, Rationale: Database search engines are the preferred method to identify peptides in mass spectrometry data. However, valuable software is in this context not only defined by a powerful algorithm to separate correct from false identifications, but also by constant maintenance and continuous improvements. Methods: In 2014, we presented our peptide identification algorithm MS Amanda, showing its suitability for identifying peptides in high-resolution tandem mass spectrometry data and its ability to outperform widely used tools to identify peptides. Since then, we have continuously worked on improvements to enhance its usability and to support new trends and developments in this fast-growing field, while keeping the original scoring algorithm to assess the quality of a peptide spectrum match unchanged. Results: We present the outcome of these efforts, MS Amanda 2.0, a faster and more flexible standalone version with the original scoring algorithm. The new implementation has led to a 3–5× speedup, is able to handle new ion types and supports standard data formats. We also show that MS Amanda 2.0 works best when using only the most common ion types in a particular search instead of all possible ion types. Conclusions: MS Amanda is available free of charge from https://ms.imp.ac.at/index.php?action=msamanda., 10.1021/acs.jproteome.7b00836, CharmeRT: Boosting Peptide Identifications by Chimeric Spectra Identification and Retention Time Prediction, Coeluting peptides are still a major challenge for the identification and validation of MS/MS spectra, but carry great potential. To tackle these problems, we have developed the here presented CharmeRT workflow, combining a chimeric spectra identification strategy implemented as part of the MS Amanda algorithm with the validation system Elutator, which incorporates a highly accurate retention time prediction algorithm. For high-resolution data sets this workflow identifies 38-64% chimeric spectra, which results in up to 63% more unique peptides compared to a conventional single search strategy.
Comet	http://comet-ms.sourceforge.net/	Comet is an open source tandem mass spectrometry (MS/MS) sequence database search tool.	2016.01.2, 2023.01.2	Command-line tool, Desktop application	Proteomics, Protein modifications	998, 154	http://comet-ms.sourceforge.net/release/	Linux, Mac, Windows	C++	None	Apache-2.0	10.1002/pmic.201200439	Comet: An open-source MS/MS sequence database search tool	Proteomics research routinely involves identifying peptides and proteins via MS/MS sequence database search. Thus the database search engine is an integral tool in many proteomics research groups. Here, we introduce the Comet search engine to the existing landscape of commercial and open-source database search tools. Comet is open source, freely available, and based on one of the original sequence database search tools that has been widely used for many years. © 2012 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim., 10.1007/s13361-015-1179-x, A Deeper Look into Comet - Implementation and Features, The Comet database search software was initially released as an open source project in late 2012. Prior to that, Comet existed as the University of Washington's academic version of the SEQUEST database search tool. Despite its availability and widespread use over the years, some details about its implementation have not been previously disseminated or are not well understood. We address a few of these details in depth and highlight new features available in the latest release. Comet is freely available for download at http://comet-ms.sourceforge.net or it can be accessed as a component of a number of larger software projects into which it has been incorporated. (Figure Presented).
PeptideProphet	http://peptideprophet.sourceforge.net/index.html	Validation of peptide identifications by MS/MS and database searches.		Command-line tool	Proteomics, Proteomics experiment, Statistics and probability	4094	http://tools.proteomecenter.org/wiki/index.php?title=Software:PeptideProphet	Linux, Mac	C++, Perl	None	None	10.1021/ac025747h	Empirical statistical model to estimate the accuracy of peptide identifications made by MS/MS and database search	We present a statistical model to estimate the accuracy of peptide assignments to tandem mass (MS/MS) spectra made by database search applications such as SEQUEST. Employing the expectation maximization algorithm, the analysis learns to distinguish correct from incorrect database search results, computing probabilities that peptide assignments to spectra are correct based upon database search scores and the number of tryptic termini of peptides. Using SEQUEST search results for spectra generated from a sample of known protein components, we demonstrate that the computed probabilities are accurate and have high power to discriminate between correctly and incorrectly assigned peptides. This analysis makes it possible to filter large volumes of MS/MS database search results with predictable false identification error rates and can serve as a common standard by which the results of different research groups are compared.
